DE_gene		UP000001056_306901	UP000001805_367110	UP000001881_771870	UP000008984_431241	pa_allcds_prot_6_32
Pa_4_5310	OG0000235	tr|Q2H7Y5|Q2H7Y5_CHAGB, tr|Q2HBU2|Q2HBU2_CHAGB	tr|A7UWN9|A7UWN9_NEUCR, tr|Q7S3P0|Q7S3P0_NEUCR, tr|Q7S683|Q7S683_NEUCR	tr|F7VY79|F7VY79_SORMK, tr|F7W8S9|F7W8S9_SORMK, tr|F7W8X9|F7W8X9_SORMK		Pa_4_5310|chrm4|Putative, Pa_5_140|chrm5|Putative, Pa_7_4450|chrm7|Putative
Pa_4_5320	OG0007760		tr|Q7S684|Q7S684_NEUCR	tr|F7W8X8|F7W8X8_SORMK		Pa_4_5320|chrm4|Putative
Pa_4_5325	OG0007571		tr|Q7S685|Q7S685_NEUCR	tr|F7W8X7|F7W8X7_SORMK		Pa_4_5325|chrm4|Putative
Pa_4_5330	OG0000559	tr|Q2GPF7|Q2GPF7_CHAGB	tr|Q7S289|Q7S289_NEUCR, tr|Q7S686|Q7S686_NEUCR	tr|F7W5A8|F7W5A8_SORMK, tr|F7W8X6|F7W8X6_SORMK	tr|G0RIL3|G0RIL3_HYPJQ	Pa_1_23560|chrm1|Putative, Pa_4_5330|chrm4|Putative
Pa_4_5350	OG0004951	tr|Q2GRL6|Q2GRL6_CHAGB	tr|Q7RZI1|Q7RZI1_NEUCR	tr|F7W7L9|F7W7L9_SORMK	tr|G0RTG2|G0RTG2_HYPJQ	Pa_4_5350|chrm4|Putative
Pa_4_5360	OG0002099	tr|Q2GRL7|Q2GRL7_CHAGB	tr|Q7RZI2|Q7RZI2_NEUCR	tr|F7W7M0|F7W7M0_SORMK	tr|G0RU30|G0RU30_HYPJQ	Pa_4_5360|chrm4|Putative
Pa_4_5380	OG0000894	tr|Q2GRL8|Q2GRL8_CHAGB	tr|Q7RZI3|Q7RZI3_NEUCR	tr|F7W7M1|F7W7M1_SORMK	tr|G0RU31|G0RU31_HYPJQ	Pa_4_5370|chrm4|Putative, Pa_4_5380|chrm4|Putative
Pa_4_5390	OG0006632	tr|Q2GRM3|Q2GRM3_CHAGB	tr|Q7RZI5|Q7RZI5_NEUCR	tr|F7W7F6|F7W7F6_SORMK		Pa_4_5390|chrm4|Putative
Pa_4_5400	OG0001599	tr|Q2GRM5|Q2GRM5_CHAGB, tr|Q2H7R8|Q2H7R8_CHAGB	tr|Q7RZI6|Q7RZI6_NEUCR	tr|F7W7F7|F7W7F7_SORMK		Pa_4_5400|chrm4|Putative
Pa_4_5410	OG0000363	tr|Q2GPM4|Q2GPM4_CHAGB, tr|Q2GQC5|Q2GQC5_CHAGB, tr|Q2GWR5|Q2GWR5_CHAGB, tr|Q2HHI2|Q2HHI2_CHAGB	tr|Q7RW94|Q7RW94_NEUCR	tr|F7W5A1|F7W5A1_SORMK, tr|F7WBM0|F7WBM0_SORMK		Pa_4_5410|chrm4|Putative, Pa_6_10420|chrm6|Putative
Pa_4_5430	OG0000004	tr|Q2GN92|Q2GN92_CHAGB, tr|Q2GQ77|Q2GQ77_CHAGB, tr|Q2GRB6|Q2GRB6_CHAGB, tr|Q2GRD4|Q2GRD4_CHAGB, tr|Q2GU51|Q2GU51_CHAGB, tr|Q2GUP5|Q2GUP5_CHAGB, tr|Q2GX37|Q2GX37_CHAGB, tr|Q2GYQ7|Q2GYQ7_CHAGB, tr|Q2H208|Q2H208_CHAGB, tr|Q2H2H2|Q2H2H2_CHAGB, tr|Q2H7F1|Q2H7F1_CHAGB, tr|Q2H8H3|Q2H8H3_CHAGB, tr|Q2H8I1|Q2H8I1_CHAGB, tr|Q2H8P4|Q2H8P4_CHAGB, tr|Q2HC78|Q2HC78_CHAGB, tr|Q2HCR8|Q2HCR8_CHAGB, tr|Q2HHL5|Q2HHL5_CHAGB, tr|Q2HI29|Q2HI29_CHAGB	tr|Q1K8L4|Q1K8L4_NEUCR, tr|Q7S108|Q7S108_NEUCR, tr|Q7S4S4|Q7S4S4_NEUCR, tr|Q7S676|Q7S676_NEUCR, tr|Q7S815|Q7S815_NEUCR, tr|Q7SAA6|Q7SAA6_NEUCR	tr|F7VNS1|F7VNS1_SORMK, tr|F7VVH3|F7VVH3_SORMK, tr|F7VXC0|F7VXC0_SORMK, tr|F7VZE5|F7VZE5_SORMK, tr|F7W2U1|F7W2U1_SORMK, tr|F7W4D0|F7W4D0_SORMK, tr|F7W8Y5|F7W8Y5_SORMK, tr|F7WC40|F7WC40_SORMK		Pa_0_510|chrm2|Putative, Pa_2_13480|chrm2|Putative, Pa_2_4920|chrm2|Putative, Pa_2_6880|chrm2|Putative, Pa_2_8150|chrm2|Putative, Pa_4_1410|chrm4|Putative, Pa_4_1430|chrm4|Putative, Pa_4_2090|chrm4|Putative, Pa_4_5430|chrm4|Putative, Pa_5_12920|chrm5|Putative, Pa_5_2860|chrm5|Putative, Pa_5_3150|chrm5|Putative, Pa_5_4090|chrm5|Putative, Pa_5_410|chrm5|Putative, Pa_5_4300|chrm5|Putative, Pa_5_4810|chrm5|Putative, Pa_5_6700|chrm5|Putative, Pa_5_7770|chrm5|Putative, Pa_6_11760|chrm6|Putative, Pa_7_3440|chrm7|Putative, Pa_7_3450|chrm7|Putative, Pa_7_3570|chrm7|Putative, Pa_7_8950|chrm7|Putative
Pa_4_5440	OG0000947	tr|Q2GRB8|Q2GRB8_CHAGB	tr|Q7S674|Q7S674_NEUCR	tr|F7W8Y7|F7W8Y7_SORMK	tr|G0RE84|G0RE84_HYPJQ, tr|G0RJS4|G0RJS4_HYPJQ	Pa_4_5440|chrm4|Putative
Pa_4_5450	OG0007795		tr|Q7S677|Q7S677_NEUCR	tr|F7W8Y4|F7W8Y4_SORMK		Pa_4_5450|chrm4|Putative
Pa_4_5460	OG0006758	tr|Q2H4G3|Q2H4G3_CHAGB		tr|F7W8Y3|F7W8Y3_SORMK		Pa_1_19000|chrm1|Putative, Pa_4_5460|chrm4|Putative
Pa_4_5470	OG0003831	tr|Q2GRR4|Q2GRR4_CHAGB	tr|Q7S607|Q7S607_NEUCR	tr|F7W015|F7W015_SORMK	tr|G0RW48|G0RW48_HYPJQ	Pa_4_5470|chrm4|Putative
Pa_4_5480	OG0000203	tr|Q2GRR9|Q2GRR9_CHAGB, tr|Q2GZH7|Q2GZH7_CHAGB	tr|Q7S5S1|Q7S5S1_NEUCR, tr|Q7SB44|Q7SB44_NEUCR	tr|F7W014|F7W014_SORMK, tr|F7W8F3|F7W8F3_SORMK	tr|G0RXE1|G0RXE1_HYPJQ	Pa_2_14110|chrm2|Putative, Pa_3_2440|chrm3|Putative, Pa_4_1810|chrm4|Putative, Pa_4_5480|chrm4|Putative
Pa_4_5490	OG0000374	tr|Q2GRR2|Q2GRR2_CHAGB	tr|Q7SAA3|Q7SAA3_NEUCR, tr|U9W8G8|U9W8G8_NEUCR	tr|F7VNR9|F7VNR9_SORMK, tr|F7VY90|F7VY90_SORMK, tr|F7VY91|F7VY91_SORMK	tr|G0RXF6|G0RXF6_HYPJQ	Pa_4_5490|chrm4|Putative, Pa_6_9580|chrm6|Putative
Pa_4_5560	OG0000449					Pa_1_21450|chrm1|Putative, Pa_2_9230|chrm2|Putative, Pa_3_3180|chrm3|Putative, Pa_3_3275|chrm3|Putative, Pa_4_5560|chrm4|Putative, Pa_5_1150|chrm5|Putative, Pa_5_1570|chrm5|Putative, Pa_6_8160|chrm6|Putative, Pa_6_8300|chrm6|Putative
Pa_4_5570	OG0000229	tr|Q2GRQ2|Q2GRQ2_CHAGB, tr|Q2GUN9|Q2GUN9_CHAGB, tr|Q2HF02|Q2HF02_CHAGB	tr|Q7S612|Q7S612_NEUCR, tr|V5IPU0|V5IPU0_NEUCR	tr|F7VWP5|F7VWP5_SORMK, tr|F7VZD8|F7VZD8_SORMK	tr|G0RIH5|G0RIH5_HYPJQ	Pa_4_5570|chrm4|Putative, Pa_5_12530|chrm5|Putative, Pa_6_11710|chrm6|Putative
Pa_4_5600	OG0000676	tr|Q2GTW6|Q2GTW6_CHAGB, tr|Q2H7A1|Q2H7A1_CHAGB		tr|F7VV72|F7VV72_SORMK, tr|F7VV73|F7VV73_SORMK	tr|G0RFC1|G0RFC1_HYPJQ	Pa_4_5600|chrm4|Putative, Pa_5_3800|chrm5|Putative
Pa_4_5620	OG0001196	tr|Q2HCH8|Q2HCH8_CHAGB	tr|Q7S5T0|Q7S5T0_NEUCR	tr|F7VWA9|F7VWA9_SORMK		Pa_4_5620|chrm4|Putative, Pa_7_2940|chrm7|Putative, Pa_7_805|chrm7|Putative
Pa_4_570	OG0007955					Pa_4_570|chrm4|Putative, Pa_7_8100|chrm7|Putative, Pa_7_8110|chrm7|Putative
Pa_4_5735	OG0009265					Pa_4_1870|chrm4|Putative, Pa_4_5735|chrm4|Putative
Pa_4_5740	OG0009229					Pa_0_760|chrm2|Putative, Pa_4_5740|chrm4|Putative
Pa_4_5800	OG0007007		tr|Q7S5Y1|Q7S5Y1_NEUCR	tr|F7VWL8|F7VWL8_SORMK	tr|G0RX61|G0RX61_HYPJQ	Pa_4_5800|chrm4|Putative
Pa_4_5860	OG0009201				tr|G0RF82|G0RF82_HYPJQ	Pa_4_5860|chrm4|Putative
Pa_4_5870	OG0009249					Pa_4_2120|chrm4|Putative, Pa_4_5870|chrm4|Putative
Pa_4_5890	OG0006314	tr|Q2H8F7|Q2H8F7_CHAGB				Pa_4_5890|chrm4|Putative, Pa_4_5970|chrm4|Putative, Pa_5_1100|chrm5|Putative
Pa_4_590	OG0009244					Pa_2_3310|chrm2|Putative, Pa_4_590|chrm4|Putative
Pa_4_5980	OG0007541	tr|Q2H8F6|Q2H8F6_CHAGB				Pa_4_5980|chrm4|Putative, Pa_5_1090|chrm5|Putative
Pa_4_600	OG0000074	tr|Q2GPL8|Q2GPL8_CHAGB, tr|Q2GUF9|Q2GUF9_CHAGB, tr|Q2GYU7|Q2GYU7_CHAGB	tr|Q1K5X6|Q1K5X6_NEUCR, tr|Q7S0X5|Q7S0X5_NEUCR	tr|F7VNI9|F7VNI9_SORMK, tr|F7W7E4|F7W7E4_SORMK, tr|F7W8Q7|F7W8Q7_SORMK	tr|G0REN2|G0REN2_HYPJQ, tr|G0RHA8|G0RHA8_HYPJQ, tr|G0RRH0|G0RRH0_HYPJQ	Pa_1_5810|chrm1|Putative, Pa_2_13590|chrm2|Putative, Pa_4_1480|chrm4|Putative, Pa_4_600|chrm4|Putative, Pa_5_10310|chrm5|Putative, Pa_5_1630|chrm5|Putative, Pa_6_2420|chrm6|Putative
Pa_4_6020	OG0003252	tr|Q2GZS1|Q2GZS1_CHAGB, tr|Q2H360|Q2H360_CHAGB, tr|Q2HEA3|Q2HEA3_CHAGB			tr|G0RRG8|G0RRG8_HYPJQ	Pa_4_6020|chrm4|Putative
Pa_4_6040	OG0004848	tr|Q2H5H4|Q2H5H4_CHAGB	tr|Q7S5V0|Q7S5V0_NEUCR	tr|F7VWL0|F7VWL0_SORMK	tr|G0R6W2|G0R6W2_HYPJQ	Pa_4_6040|chrm4|Putative
Pa_4_6050	OG0001181	tr|Q2H278|Q2H278_CHAGB	tr|Q1K8Q0|Q1K8Q0_NEUCR, tr|Q7S5U8|Q7S5U8_NEUCR	tr|F7WCS0|F7WCS0_SORMK	tr|G0RVG8|G0RVG8_HYPJQ	Pa_4_6050|chrm4|Putative
Pa_4_6070	OG0000653	tr|Q2GRW3|Q2GRW3_CHAGB, tr|Q2GT88|Q2GT88_CHAGB	tr|Q7RVB3|Q7RVB3_NEUCR	tr|F7VW99|F7VW99_SORMK	tr|G0RWE0|G0RWE0_HYPJQ	Pa_3_992|chrm3|Putative, Pa_4_6070|chrm4|Putative
Pa_4_6080	OG0004995	tr|Q2GRW1|Q2GRW1_CHAGB	tr|Q7S6I8|Q7S6I8_NEUCR	tr|F7VWA0|F7VWA0_SORMK	tr|G0RWD8|G0RWD8_HYPJQ	Pa_4_6080|chrm4|Putative
Pa_4_6130	OG0003832	tr|Q2GRX1|Q2GRX1_CHAGB	tr|Q7RWM1|Q7RWM1_NEUCR	tr|F7VMR6|F7VMR6_SORMK	tr|G0RQ31|G0RQ31_HYPJQ	Pa_4_6130|chrm4|Putative
Pa_4_6170	OG0004331	tr|Q2GRW7|Q2GRW7_CHAGB	tr|Q7RWN0|Q7RWN0_NEUCR	tr|F7VMR0|F7VMR0_SORMK	tr|G0RQ28|G0RQ28_HYPJQ	Pa_4_6170|chrm4|Putative
Pa_4_6180	OG0001065	tr|Q2H9V7|Q2H9V7_CHAGB	tr|Q7RYZ2|Q7RYZ2_NEUCR	tr|F7W852|F7W852_SORMK		Pa_1_21340|chrm1|Putative, Pa_4_6180|chrm4|Putative, Pa_7_990|chrm7|Putative
Pa_4_6190	OG0005481	tr|Q2GRW5|Q2GRW5_CHAGB	tr|Q7S6V6|Q7S6V6_NEUCR	tr|F7VWK0|F7VWK0_SORMK	tr|G0RKK8|G0RKK8_HYPJQ	Pa_4_6190|chrm4|Putative
Pa_4_6210	OG0000027	tr|Q2GMQ8|Q2GMQ8_CHAGB, tr|Q2GPH1|Q2GPH1_CHAGB, tr|Q2GRR0|Q2GRR0_CHAGB, tr|Q2GRX8|Q2GRX8_CHAGB, tr|Q2GTB0|Q2GTB0_CHAGB, tr|Q2H1I4|Q2H1I4_CHAGB, tr|Q2H292|Q2H292_CHAGB, tr|Q2HHR4|Q2HHR4_CHAGB	tr|Q7RWM0|Q7RWM0_NEUCR, tr|Q7S8A1|Q7S8A1_NEUCR, tr|V5IQ66|V5IQ66_NEUCR	tr|F7VMR5|F7VMR5_SORMK, tr|F7VNS0|F7VNS0_SORMK, tr|F7VUA0|F7VUA0_SORMK, tr|F7VY89|F7VY89_SORMK, tr|F7W3A3|F7W3A3_SORMK, tr|F7WBY0|F7WBY0_SORMK	tr|G0RDX2|G0RDX2_HYPJQ, tr|G0RXE4|G0RXE4_HYPJQ, tr|G0RXF7|G0RXF7_HYPJQ	Pa_0_80|chrm6|Putative, Pa_2_6840|chrm2|Putative, Pa_2_7060|chrm2|Putative, Pa_2_7920|chrm2|Putative, Pa_4_5500|chrm4|Putative, Pa_4_6210|chrm4|Putative, Pa_5_11030|chrm5|Putative, Pa_6_9560|chrm6|Putative, Pa_7_4850|chrm7|Putative
Pa_4_6220	OG0003916	tr|Q2GRZ6|Q2GRZ6_CHAGB	tr|V5IM27|V5IM27_NEUCR	tr|F7VMT5|F7VMT5_SORMK	tr|G0RPV0|G0RPV0_HYPJQ	Pa_4_6220|chrm4|Putative
Pa_4_6300	OG0003998	tr|Q2GRY1|Q2GRY1_CHAGB	tr|Q7RWL8|Q7RWL8_NEUCR	tr|F7VMS3|F7VMS3_SORMK	tr|G0RBE1|G0RBE1_HYPJQ	Pa_4_6300|chrm4|Putative
Pa_4_6330	OG0008386	tr|Q2H8Q4|Q2H8Q4_CHAGB				Pa_4_6330|chrm4|Putative
Pa_4_6350	OG0000981	tr|Q2GS00|Q2GS00_CHAGB	tr|A7UW07|A7UW07_NEUCR, tr|Q7RZE4|Q7RZE4_NEUCR	tr|F7VMQ6|F7VMQ6_SORMK	tr|G0RU95|G0RU95_HYPJQ	Pa_4_6350|chrm4|Putative
Pa_4_6360	OG0004614	tr|Q2GRZ9|Q2GRZ9_CHAGB	tr|Q7RZE3|Q7RZE3_NEUCR	tr|F7VMQ7|F7VMQ7_SORMK	tr|G0RU96|G0RU96_HYPJQ	Pa_4_6360|chrm4|Putative
Pa_4_6380	OG0000460	tr|Q2H242|Q2H242_CHAGB, tr|Q2HI18|Q2HI18_CHAGB				Pa_2_7700|chrm2|Putative, Pa_3_3170|chrm3|Putative, Pa_4_6380|chrm4|Putative, Pa_5_100|chrm5|Putative, Pa_6_7445|chrm6|Putative, Pa_6_7450|chrm6|Putative
Pa_4_6420	OG0000048	tr|Q2GS48|Q2GS48_CHAGB, tr|Q2GUU2|Q2GUU2_CHAGB, tr|Q2H0U1|Q2H0U1_CHAGB, tr|Q2HDM9|Q2HDM9_CHAGB	sp|P78695|BIP_NEUCR, sp|Q01233|HSP70_NEUCR, tr|Q7RVX2|Q7RVX2_NEUCR, tr|Q7RW06|Q7RW06_NEUCR	tr|F7VT38|F7VT38_SORMK, tr|F7VUL7|F7VUL7_SORMK, tr|F7VZX5|F7VZX5_SORMK, tr|F7W676|F7W676_SORMK, tr|F7WB19|F7WB19_SORMK	tr|G0RA64|G0RA64_HYPJQ, tr|G0RAR9|G0RAR9_HYPJQ, tr|G0RMU3|G0RMU3_HYPJQ, tr|G0RPK6|G0RPK6_HYPJQ	Pa_1_2670|chrm1|Putative, Pa_1_4560|chrm1|Putative, Pa_4_6420|chrm4|Putative, Pa_6_2570|chrm6|Putative, Pa_6_4100|chrm6|Putative
Pa_4_6470	OG0002653	tr|Q2GS38|Q2GS38_CHAGB	tr|Q7S642|Q7S642_NEUCR	tr|F7W038|F7W038_SORMK	tr|G0RPK1|G0RPK1_HYPJQ	Pa_4_6470|chrm4|Putative
Pa_4_6490	OG0000092	tr|Q2GQC1|Q2GQC1_CHAGB, tr|Q2HEP3|Q2HEP3_CHAGB	tr|Q7SET5|Q7SET5_NEUCR	tr|F7VQP3|F7VQP3_SORMK	tr|G0RFV7|G0RFV7_HYPJQ, tr|G0RKH5|G0RKH5_HYPJQ, tr|G0RN05|G0RN05_HYPJQ	Pa_0_200|chrm6|Putative, Pa_1_1360|chrm1|Putative, Pa_1_4860|chrm1|Putative, Pa_1_5230|chrm1|Putative, Pa_4_6490|chrm4|Putative, Pa_5_3670|chrm5|Putative, Pa_5_370|chrm5|Putative, Pa_6_7300|chrm6|Putative, Pa_6_7770|chrm6|Putative
Pa_4_6520	OG0007578		tr|Q7S6I1|Q7S6I1_NEUCR	tr|F7W033|F7W033_SORMK		Pa_4_6520|chrm4|Putative
Pa_4_6550	OG0005175	tr|Q2GS34|Q2GS34_CHAGB	tr|Q1K614|Q1K614_NEUCR	tr|F7W6A7|F7W6A7_SORMK	tr|G0RMQ2|G0RMQ2_HYPJQ	Pa_4_6550|chrm4|Putative
Pa_4_6580	OG0001538	tr|Q2GS31|Q2GS31_CHAGB	tr|Q7RZC6|Q7RZC6_NEUCR	tr|F7W6I9|F7W6I9_SORMK	tr|G0RC80|G0RC80_HYPJQ	Pa_4_6580|chrm4|Putative
Pa_4_6590	OG0007869		tr|Q7RZE8|Q7RZE8_NEUCR	tr|F7VMP9|F7VMP9_SORMK		Pa_4_6590|chrm4|Putative
Pa_4_6630	OG0006042	tr|Q2GS22|Q2GS22_CHAGB			tr|G0RC81|G0RC81_HYPJQ, tr|G0RRM7|G0RRM7_HYPJQ	Pa_4_6630|chrm4|Putative
Pa_4_6690	OG0004120	tr|Q2GS65|Q2GS65_CHAGB	tr|Q7RZA8|Q7RZA8_NEUCR	tr|F7W648|F7W648_SORMK	tr|G0RNI8|G0RNI8_HYPJQ	Pa_4_6690|chrm4|Putative
Pa_4_6700	OG0006265	tr|Q2GS66|Q2GS66_CHAGB	tr|Q7RXK4|Q7RXK4_NEUCR	tr|F7W664|F7W664_SORMK		Pa_4_6700|chrm4|Putative
Pa_4_680	OG0006084	tr|Q2GUC9|Q2GUC9_CHAGB	tr|Q7S5N5|Q7S5N5_NEUCR	tr|F7W5K9|F7W5K9_SORMK		Pa_4_680|chrm4|Putative
Pa_4_6800	OG0001179	tr|Q2GSQ3|Q2GSQ3_CHAGB	sp|P38681|NIR_NEUCR	tr|F7W036|F7W036_SORMK	tr|G0RV98|G0RV98_HYPJQ	Pa_4_6800|chrm4|Putative, Pa_6_7720|chrm6|Putative
Pa_4_6810	OG0002103	tr|Q2GSB6|Q2GSB6_CHAGB	tr|Q7S215|Q7S215_NEUCR	tr|F7W520|F7W520_SORMK	tr|G0R9I1|G0R9I1_HYPJQ	Pa_4_6810|chrm4|Putative
Pa_4_6820	OG0000412	tr|Q2GQT8|Q2GQT8_CHAGB, tr|Q2GYZ1|Q2GYZ1_CHAGB	tr|Q7S216|Q7S216_NEUCR	tr|F7W519|F7W519_SORMK	tr|G0RIL6|G0RIL6_HYPJQ, tr|G0RVE6|G0RVE6_HYPJQ	Pa_4_6820|chrm4|Putative, Pa_5_12220|chrm5|Putative, Pa_6_11100|chrm6|Putative
Pa_4_6900	OG0002861	tr|Q2GSB5|Q2GSB5_CHAGB	tr|Q7S214|Q7S214_NEUCR	tr|F7W521|F7W521_SORMK	tr|G0RUC4|G0RUC4_HYPJQ	Pa_4_6900|chrm4|Putative
Pa_4_6920	OG0000957	tr|Q2GSQ2|Q2GSQ2_CHAGB	tr|Q7S6F5|Q7S6F5_NEUCR	tr|F7W073|F7W073_SORMK	tr|G0RIJ4|G0RIJ4_HYPJQ	Pa_4_6920|chrm4|Putative, Pa_5_2460|chrm5|Putative
Pa_4_70	OG0008245	tr|Q2GPH5|Q2GPH5_CHAGB				Pa_4_70|chrm4|Putative
Pa_4_7000	OG0007199		sp|Q7RZD3|STE20_NEUCR	tr|F7W6G4|F7W6G4_SORMK	tr|G0RC70|G0RC70_HYPJQ	Pa_4_7000|chrm4|Putative
Pa_4_7030	OG0007548	tr|Q2GS56|Q2GS56_CHAGB	tr|V5IKQ4|V5IKQ4_NEUCR			Pa_4_7030|chrm4|Putative
Pa_4_7080	OG0001056	tr|Q2H3M7|Q2H3M7_CHAGB, tr|Q2H5Y3|Q2H5Y3_CHAGB	tr|Q7RXK3|Q7RXK3_NEUCR	tr|F7W670|F7W670_SORMK	tr|G0REZ4|G0REZ4_HYPJQ	Pa_4_7080|chrm4|Putative
Pa_4_7140	OG0000904	tr|Q2GS18|Q2GS18_CHAGB, tr|Q2H885|Q2H885_CHAGB	tr|Q7RZF1|Q7RZF1_NEUCR	tr|F7VMP6|F7VMP6_SORMK	tr|G0RQ26|G0RQ26_HYPJQ	Pa_4_7140|chrm4|Putative
Pa_4_720	OG0000309	tr|Q2GUD3|Q2GUD3_CHAGB	tr|Q7S5N1|Q7S5N1_NEUCR, tr|Q7S8B7|Q7S8B7_NEUCR	tr|F7VVJ8|F7VVJ8_SORMK, tr|F7W2C3|F7W2C3_SORMK, tr|F7W5K6|F7W5K6_SORMK	tr|G0R9U1|G0R9U1_HYPJQ	Pa_4_720|chrm4|Putative, Pa_5_11668|chrm5|Putative, Pa_6_1950|chrm6|Putative
Pa_4_7230	OG0000738	tr|Q2GS26|Q2GS26_CHAGB	tr|Q7RZJ1|Q7RZJ1_NEUCR	tr|F7VNY1|F7VNY1_SORMK	tr|G0RIQ8|G0RIQ8_HYPJQ, tr|G0RPP1|G0RPP1_HYPJQ	Pa_1_3150|chrm1|Putative, Pa_4_7230|chrm4|Putative
Pa_4_7250	OG0005564	tr|Q2GSL9|Q2GSL9_CHAGB	tr|Q7RZF9|Q7RZF9_NEUCR	tr|F7VMN7|F7VMN7_SORMK	tr|G0RPZ4|G0RPZ4_HYPJQ	Pa_4_7250|chrm4|Putative
Pa_4_7260	OG0002354	tr|Q2GSM0|Q2GSM0_CHAGB	tr|Q7RZF8|Q7RZF8_NEUCR	tr|F7VMN8|F7VMN8_SORMK	tr|G0RVY6|G0RVY6_HYPJQ	Pa_4_7260|chrm4|Putative
Pa_4_7270	OG0003634	tr|Q2GSM1|Q2GSM1_CHAGB	tr|Q7RZF7|Q7RZF7_NEUCR	tr|F7VMN9|F7VMN9_SORMK	tr|G0RWS4|G0RWS4_HYPJQ	Pa_4_7270|chrm4|Putative
Pa_4_730	OG0008131	tr|Q2GUD4|Q2GUD4_CHAGB				Pa_4_730|chrm4|Putative
Pa_4_7390	OG0007053		tr|V5IM98|V5IM98_NEUCR	tr|F7W507|F7W507_SORMK	tr|G0RQ17|G0RQ17_HYPJQ	Pa_4_7390|chrm4|Putative
Pa_4_7400	OG0000073	tr|Q2GSG1|Q2GSG1_CHAGB, tr|Q2H3K0|Q2H3K0_CHAGB, tr|Q2HDU0|Q2HDU0_CHAGB	tr|Q7S0F8|Q7S0F8_NEUCR, tr|Q7S222|Q7S222_NEUCR, tr|Q7S7D0|Q7S7D0_NEUCR, tr|Q7SGL2|Q7SGL2_NEUCR	tr|F7W1Z4|F7W1Z4_SORMK, tr|F7W508|F7W508_SORMK, tr|F7W9Q2|F7W9Q2_SORMK	tr|G0RFE9|G0RFE9_HYPJQ, tr|G0RHZ8|G0RHZ8_HYPJQ, tr|G0RQ16|G0RQ16_HYPJQ, tr|G0RRQ0|G0RRQ0_HYPJQ	Pa_0_1310|chrm2|Putative, Pa_1_9470|chrm1|Putative, Pa_4_7400|chrm4|Putative, Pa_6_10680|chrm6|Putative
Pa_4_7410	OG0000682	tr|Q2H000|Q2H000_CHAGB	tr|Q7RWQ6|Q7RWQ6_NEUCR	tr|F7VRT7|F7VRT7_SORMK	tr|G0RLN4|G0RLN4_HYPJQ, tr|G0RVN1|G0RVN1_HYPJQ	Pa_3_3720|chrm3|Putative, Pa_4_7410|chrm4|Putative
Pa_4_7420	OG0001800	tr|Q2GSH3|Q2GSH3_CHAGB, tr|Q2GU06|Q2GU06_CHAGB, tr|Q2GXB0|Q2GXB0_CHAGB		tr|F7W4Z2|F7W4Z2_SORMK		Pa_4_7420|chrm4|Putative
Pa_4_7450	OG0005299	tr|Q2GSH0|Q2GSH0_CHAGB	tr|Q7S084|Q7S084_NEUCR	tr|F7W502|F7W502_SORMK	tr|G0RQ21|G0RQ21_HYPJQ	Pa_4_7450|chrm4|Putative
Pa_4_750	OG0006724	tr|Q2GUD6|Q2GUD6_CHAGB	tr|Q7S5M9|Q7S5M9_NEUCR	tr|F7W5K4|F7W5K4_SORMK		Pa_4_750|chrm4|Putative
Pa_4_7500	OG0000085	tr|Q2GSG3|Q2GSG3_CHAGB, tr|Q2GSM8|Q2GSM8_CHAGB, tr|Q2HBH6|Q2HBH6_CHAGB	tr|Q7RZZ0|Q7RZZ0_NEUCR, tr|Q7S219|Q7S219_NEUCR, tr|Q7S6G2|Q7S6G2_NEUCR	tr|F7W017|F7W017_SORMK, tr|F7W516|F7W516_SORMK, tr|F7W715|F7W715_SORMK	tr|G0R7X0|G0R7X0_HYPJQ, tr|G0R952|G0R952_HYPJQ, tr|G0RHH4|G0RHH4_HYPJQ, tr|G0RIG2|G0RIG2_HYPJQ, tr|G0RMW0|G0RMW0_HYPJQ	Pa_2_8470|chrm2|Putative, Pa_4_7320|chrm4|Putative, Pa_4_7500|chrm4|Putative
Pa_4_7510	OG0001014	tr|Q2GSG2|Q2GSG2_CHAGB	tr|Q7S218|Q7S218_NEUCR	tr|F7W515|F7W515_SORMK	tr|G0RC29|G0RC29_HYPJQ, tr|G0RFJ8|G0RFJ8_HYPJQ	Pa_4_7510|chrm4|Putative
Pa_4_7550	OG0006529	sp|Q2GSH7|VELB_CHAGB	tr|Q7S1V7|Q7S1V7_NEUCR	tr|F7W4Z4|F7W4Z4_SORMK		Pa_4_7550|chrm4|Putative
Pa_4_7590	OG0001624	sp|Q2GSI6|GPI18_CHAGB	tr|Q7S1W1|Q7S1W1_NEUCR	tr|F7W4Z0|F7W4Z0_SORMK	tr|G0RBB8|G0RBB8_HYPJQ	Pa_4_7590|chrm4|Putative
Pa_4_7660	OG0003396	tr|Q2GSL2|Q2GSL2_CHAGB	sp|P11115|CPC1_NEUCR	tr|F7VMN3|F7VMN3_SORMK	tr|G0RQ02|G0RQ02_HYPJQ	Pa_4_7660|chrm4|Putative
Pa_4_7670	OG0002356	tr|Q2GT92|Q2GT92_CHAGB	tr|Q7RZG7|Q7RZG7_NEUCR	tr|F7VMN1|F7VMN1_SORMK	tr|G0RU58|G0RU58_HYPJQ	Pa_4_7670|chrm4|Putative
